The authors supplemented the search with reference list of relevant articles and grey literature as well as relevant Internet websites .	The authors supplemented the search with entity* reference list *entity of relevant entity* articles *entity and entity* grey literature *entity as well as relevant entity* Internet websites *entity .
There are strong indications that the EVD may have been triggered by increased human activities and encroachment into the forest ecosystem spurred by increasing population and poverty - driven forest - dependent local economy .	There are strong indications that the entity* EVD *entity may have been triggered by entity* increased human activities *entity and entity* encroachment into the forest ecosystem *entity spurred by entity* increasing population *entity and entity* poverty *entity - driven forest - dependent local economy .
Containment efforts are being hampered by weak and fragile health systems , including public health surveillance and weak governance , certain socio - anthropological factors , fast travels ( improved transport systems ) and globalization .	entity* Containment efforts *entity are being hampered by entity* weak and fragile health systems *entity , including entity* public health surveillance *entity and weak governance , certain entity* socio - anthropological factors *entity , entity* fast travels *entity ( entity* improved transport systems *entity ) and entity* globalization *entity .
The societal impacts of the EBV outbreak are grave , including economic shutdown , weakening of socio - political systems , psychological distress , and unprecedented consumption of scarce health resources .	The entity* societal impacts *entity of the entity* EBV outbreak *entity are grave , including entity* economic shutdown *entity , entity* weakening of socio - political systems *entity , entity* psychological distress *entity , and unprecedented entity* consumption of scarce health resources *entity .
The research and development ( R&D ) pipeline for product against EBV seems grossly insufficient .	The entity* research and development ( R&D ) pipeline *entity for entity* product against EBV *entity seems grossly insufficient .
The outbreak of Ebola and the seeming difficulty to contain the epidemic is simply a reflection of the weak health system , poor surveillance and emergency preparedness / response , poverty and disconnect between the government and the people in many West African countries .	The entity* outbreak of Ebola *entity and the seeming entity* difficulty to contain the epidemic *entity is simply a reflection of the entity* weak health system *entity , entity* poor surveillance and emergency preparedness / response *entity , entity* poverty *entity and entity* disconnect between the government and the people *entity in many West African countries .
Although interventions by the United Nations and other international development agencies could ultimately halt the epidemic , local communities must be engaged to build trust and create demand for the public health interventions being implemented in the Ebola - ravaged populations .	Although entity* interventions by the United Nations and other international development agencies *entity could ultimately halt the entity* epidemic *entity , entity* local communities must be engaged *entity to build entity* trust *entity and create entity* demand *entity for the entity* public health interventions *entity being entity* implemented in the Ebola - ravaged populations *entity .
In the intermediate and long term , post - Ebola rehabilitation should focus on strengthening of health systems , improving awareness about zoonosis and health behaviors , alleviating poverty and mitigating the impact of triggering factors .	In the intermediate and long term , entity* post - Ebola rehabilitation *entity should focus on entity* strengthening of health systems *entity , entity* improving awareness about zoonosis and health behaviors *entity , entity* alleviating poverty *entity and entity* mitigating the impact of triggering factors *entity .
Finally , national governments and international development partners should mobilize huge resources and investments to spur or facilitate R&D of disease control tools for emerging and pernicious infectious diseases ( not limited to EVD ) .	Finally , entity* national governments *entity and entity* international development partners *entity should mobilize huge entity* resources *entity and entity* investments *entity to spur or facilitate entity* R&D *entity of entity* disease control tools *entity for entity* emerging and pernicious infectious diseases *entity ( not limited to EVD ) .
The N - terminal domain of the coronavirus nucleocapsid ( N ) protein adopts a fold resembling a right hand with a flexible , positively charged β - hairpin and a hydrophobic palm .	The entity* N - terminal domain *entity of the coronavirus nucleocapsid ( N ) protein adopts a fold resembling a right hand with a flexible , positively charged entity* β - hairpin *entity and a entity* hydrophobic palm *entity .
This domain was shown to interact with the genomic RNA for coronavirus infectious bronchitis virus ( IBV ) and severe acute respiratory syndrome coronavirus ( SARS - CoV ) .	This entity* domain *entity was shown to interact with the entity* genomic RNA *entity for entity* coronavirus infectious bronchitis virus ( IBV ) *entity and entity* severe acute respiratory syndrome coronavirus ( SARS - CoV ) *entity .
Based on its 3D structure , we used site - directed mutagenesis to identify residues essential for the RNA - binding activity of the IBV N protein and viral infectivity .	Based on its 3D structure , we used entity* site - directed mutagenesis *entity to entity* identify residues essential for the RNA - binding activity *entity of the entity* IBV N protein *entity and entity* viral infectivity *entity .
Alanine substitution of either Arg-76 or Tyr-94 in the N - terminal domain of IBV N protein led to a significant decrease in its RNA - binding activity and a total loss of the infectivity of the viral RNA to Vero cells .	entity* Alanine substitution *entity of either entity* Arg-76 *entity or entity* Tyr-94 *entity in the entity* N - terminal domain *entity of IBV N protein led to a significant entity* decrease in its RNA - binding activity *entity and a total entity* loss of the infectivity of the viral RNA to Vero cells *entity .
In contrast , mutation of amino acid Gln-74 to an alanine , which does not affect the binding activity of the N - terminal domain , showed minimal , if any , detrimental effect on the infectivity of IBV .	In contrast , entity* mutation *entity of entity* amino acid Gln-74 *entity to an entity* alanine *entity , which does not affect the binding activity of the N - terminal domain , showed minimal , if any , detrimental effect on the infectivity of IBV .
This study thus identifies residues critical for RNA binding on the nucleocapsid surface , and presents biochemical and genetic evidence that directly links the RNA binding capacity of the coronavirus N protein to the viral infectivity in cultured cells .	This study thus identifies entity* residues *entity critical for entity* RNA binding on the nucleocapsid surface , and *entity presents biochemical and genetic evidence that directly links the RNA binding capacity of the coronavirus N protein to the entity* viral infectivity in cultured cells *entity .
This information would be useful in development of preventive and treatment approaches against coronavirus infection .	This information would be useful in development of entity* preventive and treatment approaches *entity against entity* coronavirus infection *entity .
Rotavirus is a major cause of infantile viral gastroenteritis .	entity* Rotavirus *entity is a major cause of entity* infantile viral gastroenteritis *entity .
Rotavirus nonstructural protein 4 ( NSP4 ) has pleiotropic properties and functions in viral morphogenesis as well as pathogenesis .	entity* Rotavirus nonstructural protein 4 *entity ( NSP4 ) has pleiotropic properties and functions in entity* viral morphogenesis *entity as well as entity* pathogenesis *entity .
Recent reports show that the inhibition of NSP4 expression by small interfering RNAs leads to alteration of the production and distribution of other viral proteins and mRNA synthesis , suggesting that NSP4 also affects virus replication by unknown mechanisms .	Recent reports show that the entity* inhibition of NSP4 expression by small interfering RNAs *entity leads to entity* alteration of the production and distribution of other viral proteins and mRNA synthesis *entity , suggesting that NSP4 also affects entity* virus replication *entity by unknown mechanisms .
This report describes studies aimed at correlating the localization of intracellular NSP4 in cells with its functions .	This report describes studies aimed at correlating the entity* localization *entity of entity* intracellular NSP4 *entity in cells with its entity* functions *entity .
To be able to follow the localization of NSP4 , we fused the C terminus of full - length NSP4 with the enhanced green fluorescent protein ( EGFP ) and expressed this fusion protein inducibly in a HEK 293-based cell line to avoid possible cytotoxicity .	To be able to follow the entity* localization of NSP4 *entity , we entity* fused the C terminus of full - length NSP4 with the enhanced green fluorescent protein ( EGFP ) *entity and expressed this entity* fusion *entity protein inducibly in a entity* HEK 293-based cell line *entity to entity* avoid possible cytotoxicity *entity .
Only a small fraction of NSP4-EGFP colocalized with the ER - Golgi intermediate compartment ( ERGIC ) marker ERGIC-53 .	Only a small fraction of entity* NSP4-EGFP colocalized *entity with the ER - Golgi intermediate compartment ( ERGIC ) marker entity* ERGIC-53 *entity .
NSP4-EGFP was initially localized in the endoplasmic reticulum ( ER ) as documented by Endo H - sensitive glycosylation and colocalization with ER marker proteins .	entity* NSP4-EGFP *entity was initially entity* localized in the endoplasmic reticulum *entity ( entity* ER ) as *entity documented by entity* Endo H - sensitive glycosylation *entity and colocalization with ER marker proteins .
NSP4-EGFP did not enter the Golgi apparatus , in agreement with the Endo H sensitivity and a previous report that secretion of an NSP4 cleavage product generated in rotavirus - infected cells is not inhibited by brefeldin A.	entity* NSP4-EGFP *entity did not enter the Golgi apparatus , in agreement with the entity* Endo H sensitivity *entity and a previous report that secretion of an NSP4 cleavage product generated in rotavirus - infected cells is not inhibited by brefeldin A.
A significant population of expressed NSP4-EGFP was distributed in novel vesicular structures throughout the cytoplasm , not colocalizing with ER , ERGIC , Golgi , endosomal , or lysosomal markers , thus diverging from known biosynthetic pathways .	A significant population of expressed entity* NSP4-EGFP *entity was distributed in entity* novel vesicular structures *entity throughout the cytoplasm , not colocalizing with ER , ERGIC , Golgi , endosomal , or lysosomal markers , thus diverging from known biosynthetic pathways .
The appearance of vesicular NSP4-EGFP was dependent on intracellular calcium levels , and vesicular NSP4-EGFP colocalized with the autophagosomal marker LC3 .	The appearance of entity* vesicular NSP4-EGFP *entity was dependent on entity* intracellular calcium levels *entity , and vesicular NSP4-EGFP entity* colocalized with the autophagosomal marker LC3 *entity .
In rotavirus - infected cells , NSP4 colocalized with LC3 in cap - like structures associated with viroplasms , the site of nascent viral RNA replication , suggesting a possible new mechanism for the involvement of NSP4 in virus replication .	In rotavirus - infected cells , entity* NSP4 *entity entity* colocalized with LC3 *entity in cap - like structures associated with viroplasms , the site of nascent viral RNA replication , suggesting a possible new mechanism for the involvement of NSP4 in entity* virus replication *entity .
Outbreaks of airborne infectious diseases such as measles or severe acute respiratory syndrome can cause significant public alarm .	Outbreaks of airborne infectious diseases such as entity* measles *entity or entity* severe acute respiratory syndrome *entity can cause significant entity* public alarm *entity .
Where ventilation systems facilitate disease transmission to humans or animals , there exists a need for control measures that provide effective protection while imposing minimal pressure differential .	Where entity* ventilation systems *entity entity* facilitate disease transmission *entity to humans or animals , there exists a need for entity* control measures *entity that provide effective entity* protection *entity while imposing minimal pressure differential .
In the present study , viral aerosols in an airstream were subjected to non - thermal plasma ( NTP ) exposure within a packed - bed dielectric barrier discharge reactor .	In the present study , entity* viral aerosols *entity in an airstream were subjected to entity* non - thermal plasma ( NTP ) exposure *entity within a packed - bed dielectric barrier discharge reactor .
Comparisons of plaque assays before and after NTP treatment found exponentially increasing inactivation of aerosolized MS2 phage with increasing applied voltage .	Comparisons of plaque assays before and after entity* NTP treatment *entity found exponentially increasing entity* inactivation of aerosolized MS2 phage *entity with increasing applied voltage .
At 30 kV and an air flow rate of 170 standard liters per minute , a greater than 2.3 log reduction of infective virus was achieved across the reactor .	At entity* 30 kV *entity and an entity* air flow rate of 170 standard liters per minute *entity , a greater than 2.3 log entity* reduction of infective virus *entity was achieved across the reactor .
This reduction represented ~2 log of the MS2 inactivated and ~0.35 log physically removed in the packed bed .	This reduction represented ~2 log of the entity* MS2 *entity entity* inactivated *entity and ~0.35 log entity* physically removed *entity in the packed bed .
Activated carbon - based ozone filters greatly reduced residual ozone , in some cases down to background levels , while adding less than 20 Pa pressure differential to the 45 Pa differential pressure across the packed bed at the flow rate of 170 standard liters per minute .	entity* Activated carbon - based ozone filters *entity greatly entity* reduced residual ozone *entity , in some cases down to background levels , while adding less than 20 Pa pressure differential to the 45 Pa differential pressure across the packed bed at the flow rate of 170 standard liters per minute .
A novel FBoV HRB2015-LDF was first identiﬁed from the cat with severe enteritis in Northeast China , with an overall positive rate of 2.78 % ( 1/36 ) .	A novel entity* FBoV HRB2015-LDF *entity was first identiﬁed from the entity* cat with severe enteritis *entity in Northeast China , with an overall positive rate of 2.78 % ( 1/36 ) .
Phylogenetic and homologous analysis of the complete genome showed that FBoV HRB2015-LDF was clustered into the FBoV branch and closely related to other FBoVs , with 68.7–97.5 % identities .	entity* Phylogenetic *entity and entity* homologous *entity entity* analysis *entity of the complete entity* genome *entity showed that entity* FBoV HRB2015-LDF *entity was entity* clustered into the FBoV branch *entity and entity* closely related to other FBoVs *entity , with 68.7–97.5 % identities .
